,test,station,acc_train,acc
0,STCT,6159,-1.24965914841153,0.669941594322709
0,STCT,6043,-1.25388747317115,0.726880788296813
0,STCT,6119,-1.23274584937307,0.787323932669323
0,STCT,6149,-1.28771407124807,0.629646164741036
0,STCT,6181,-1.19046260177692,0.902078308217132
0,STCT,6080,-1.22851752461346,0.799587759063745
0,STCT,6170,-1.19046260177692,0.899450345418327
0,STCT,6060,-1.24543082365192,0.726004800697211
0,STCT,6110,-1.19891925129615,0.877550655428287
0,STCT,6058,-1.25811579793076,0.709361036304781
0,STCT,4217,-1.211604225575,0.847767077041833
0,STCT,4310,-1.19046260177692,0.687461346314741
0,STCT,4390,-1.3511389426423,0.536791479183267
0,STCT,4360,-1.35536726740192,0.514891789193227
0,STCT,5700,-1.211604225575,0.82411541185259
0,STCT,4220,-1.2412024988923,0.814479548256972
0,STCT,4260,-1.28771407124807,0.603366536752988
0,STCT,4208,-1.29194239600769,0.518395739591633
0,STCT,6179,-1.28771407124807,0.480728272808765
0,STCT,6169,-1.22851752461346,0.821487449053785
0,STCT,6190,-1.24543082365192,0.708485048705179
0,STCT,6160,-1.19046260177692,0.911714171812749
0,STCT,4210,-1.321540669325,0.554311231175299
0,STCT,4270,-1.24543082365192,0.749656465886454
0,STCT,6030,-1.25388747317115,0.601614561553785
0,STCT,6071,-1.22006087509423,0.679577457918327
0,STCT,4382,-1.40187883975769,0.5
0,STCT,6151,-1.211604225575,0.847767077041833
0,STCT,4250,-1.30462737028653,0.633150115139442
0,STCT,6075,-1.19891925129615,0.81885948625498
0,STCT,6069,-1.21583255033461,0.709361036304781
0,STCT,6142,-1.22006087509423,0.791703870667331
0,STCT,4373,-1.27080077220961,0.654173817529881
0,STCT,4231,-1.32576899408461,0.579714871563745
0,STCT,6079,-1.25811579793076,0.683957395916335
0,STCT,4312,-1.22428919985384,0.658553755527888
0,STCT,4242,-1.28771407124807,0.619134313545817
0,STCT,6052,-1.29194239600769,0.599862586354582
0,STCT,6165,-1.211604225575,0.824991399452191
0,STCT,6009,-1.27080077220961,0.678701470318725
0,STCT,6041,-1.321540669325,0.539419441982072
0,STCT,4214,-1.32576899408461,0.578838883964144
0,STCT,4230,-1.321540669325,0.56044314437251
0,STCT,6124,-1.20314757605576,0.883682568625498
0,STCT,6108,-1.19046260177692,0.894194419820717
0,STCT,6070,-1.20314757605576,0.784695969870518
0,STCT,4301,-1.32576899408461,0.535039503984064
0,STCT,4285,-1.28771407124807,0.640158015936255
0,STCT,4253,-1.31308401980576,0.62088628874502
0,STCT,4272,-1.24543082365192,0.721624862699203
0,STCT,6193,-1.21583255033461,0.765424242679283
0,STCT,6191,-1.23274584937307,0.776812081474104
0,STCT,6180,-1.19046260177692,0.87930263062749
0,STCT,6104,-1.19891925129615,0.838131213446215
0,STCT,6096,-1.22851752461346,0.761044304681275
0,STCT,4330,-1.33845396836346,0.535915491583665
0,STCT,4201,-1.28771407124807,0.704981098306773
0,STCT,6100,-1.19469092653653,0.766300230278884
0,STCT,4202,-1.26657244745,0.657677767928287
0,STCT,4266,-1.29194239600769,0.603366536752988
0,STCT,6184,-1.19891925129615,0.428169016832669
0,STCT,6081,-1.23697417413269,0.713740974302789
0,STCT,6120,-1.22006087509423,0.819735473854582
0,STCT,4203,-1.27925742172884,0.678701470318725
0,STCT,4221,-1.23697417413269,0.804843684661355
0,STCT,4351,-1.32576899408461,0.563947094770916
0,STCT,6010,-1.19891925129615,0.873170717430279
0,STCT,4313,-1.34268229312307,0.487736173605578
0,STCT,6005,-1.2412024988923,0.777688069073705
0,STCT,4228,-1.30039904552692,0.62088628874502
0,STCT,4320,-1.37228056644038,0.512263826394422
0,STCT,6011,-1.23274584937307,0.772432143476096
0,SCT,6159,-1.40187883975769,0.5
0,SCT,6043,-1.40187883975769,0.5
0,SCT,6119,-1.40187883975769,0.5
0,SCT,6149,-1.40187883975769,0.5
0,SCT,6181,-1.40187883975769,0.5
0,SCT,6080,-1.40187883975769,0.5
0,SCT,6170,-1.40187883975769,0.5
0,SCT,6060,-1.40187883975769,0.5
0,SCT,6110,-1.40187883975769,0.5
0,SCT,6058,-1.40187883975769,0.5
0,SCT,4217,-1.40187883975769,0.5
0,SCT,4310,-1.40187883975769,0.5
0,SCT,4390,-1.40187883975769,0.5
0,SCT,4360,-1.40187883975769,0.5
0,SCT,5700,-1.40187883975769,0.5
0,SCT,4220,-1.40187883975769,0.5
0,SCT,4260,-1.40187883975769,0.5
0,SCT,4208,-1.40187883975769,0.5
0,SCT,6179,-1.40187883975769,0.5
0,SCT,6169,-1.40187883975769,0.5
0,SCT,6190,-1.40187883975769,0.5
0,SCT,6160,-1.40187883975769,0.5
