,test,station,acc_train,acc
0,STCT,6159,-1.275029096969226,0.6419099911354583
0,STCT,6043,-1.321540669324995,0.5735829583665338
0,STCT,6119,-1.300399045526918,0.6462899291334662
0,STCT,6149,-1.2708007722096104,0.6585537555278884
0,STCT,6181,-1.2285175246134565,0.8442631266434264
0,STCT,6080,-1.279257421728841,0.5315355535856574
0,STCT,6156,-1.2750290969692257,0.6261422143426295
0,STCT,6170,-1.2708007722096104,0.7365166518924302
0,STCT,6060,-1.3003990455269179,0.6427859787350597
0,STCT,6110,-1.2834857464884566,0.612126412749004
0,STCT,6058,-1.2750290969692257,0.49211611160358565
0,STCT,4310,-1.313084019805764,0.5324115411852589
0,STCT,4220,-1.3469106178826873,0.5455513551792829
0,STCT,4260,-1.3511389426423026,0.5245276527888446
0,STCT,4208,-1.3595955921615337,0.5
0,STCT,6179,-1.300399045526918,0.4456887688247012
0,STCT,6169,-1.2834857464884566,0.7181209123007968
0,STCT,6190,-1.3173123445653796,0.49474407440239043
0,STCT,6160,-1.2750290969692257,0.7373926394920318
0,STCT,4210,-1.3384539683634566,0.5061319131972112
0,STCT,4270,-1.3638239169211488,0.5175197519920319
0,STCT,6030,-1.3088556950461487,0.5998625863545817
0,STCT,6071,-1.308855695046149,0.5411714171812749
0,STCT,6151,-1.266572447449995,0.7312607262948208
0,STCT,4250,-1.3173123445653796,0.5551872187749004
0,STCT,6075,-1.2877140712480721,0.48072827280876496
0,STCT,6069,-1.2961707207673026,0.6051185119521912
0,STCT,6142,-1.287714071248072,0.691841284312749
0,STCT,4231,-1.3680522416807643,0.5070079007968128
0,STCT,6079,-1.308855695046149,0.5578151815737051
0,STCT,4312,-1.3384539683634564,0.4973720372011952
0,STCT,4242,-1.308855695046149,0.5122638263944224
0,STCT,6052,-1.2961707207673026,0.5919786979581674
0,STCT,6165,-1.287714071248072,0.6042425243525896
0,STCT,6009,-1.2750290969692257,0.635778077938247
0,STCT,6041,-1.313084019805764,0.5762109211653386
0,STCT,4214,-1.342682293123072,0.5350395039840637
0,STCT,4230,-1.3299973188442258,0.5315355535856574
0,STCT,6124,-1.2581157979307642,0.6751975199203187
0,STCT,6108,-1.2792574217288413,0.495620062001992
0,STCT,6070,-1.3046273702865334,0.5061319131972112
0,STCT,4301,-1.3595955921615333,0.5035039503984065
0,STCT,4272,-1.3173123445653796,0.5113878387948207
0,STCT,6193,-1.300399045526918,0.584094809561753
0,STCT,6191,-1.2623441226903795,0.5972346235557768
0,STCT,6180,-1.253887473171149,0.5481793179780876
0,STCT,6104,-1.2919423960076872,0.6182583259462151
0,STCT,6168,-1.2834857464884566,0.4597045704183267
0,STCT,6096,-1.266572447449995,0.653297829930279
0,STCT,6186,-1.2242891998538412,0.8065956598605577
