,test,station,acc_train,acc
0,STCT,6159,-1.27502909696923,0.641909991135458
0,STCT,6043,-1.321540669325,0.573582958366534
0,STCT,6119,-1.30039904552692,0.646289929133466
0,STCT,6149,-1.27080077220961,0.658553755527888
0,STCT,6181,-1.22851752461346,0.844263126643426
0,STCT,6080,-1.27925742172884,0.531535553585657
0,STCT,6156,-1.27502909696923,0.626142214342629
0,STCT,6170,-1.27080077220961,0.73651665189243
0,STCT,6060,-1.30039904552692,0.64278597873506
0,STCT,6110,-1.28348574648846,0.612126412749004
0,STCT,6058,-1.27502909696923,0.492116111603586
0,STCT,4310,-1.31308401980576,0.532411541185259
0,STCT,4220,-1.34691061788269,0.545551355179283
0,STCT,4260,-1.3511389426423,0.524527652788845
0,STCT,4208,-1.35959559216153,0.5
0,STCT,6179,-1.30039904552692,0.445688768824701
0,STCT,6169,-1.28348574648846,0.718120912300797
0,STCT,6190,-1.31731234456538,0.49474407440239
0,STCT,6160,-1.27502909696923,0.737392639492032
0,STCT,4210,-1.33845396836346,0.506131913197211
0,STCT,4270,-1.36382391692115,0.517519751992032
0,STCT,6030,-1.30885569504615,0.599862586354582
0,STCT,6071,-1.30885569504615,0.541171417181275
0,STCT,6151,-1.26657244745,0.731260726294821
0,STCT,4250,-1.31731234456538,0.5551872187749
0,STCT,6075,-1.28771407124807,0.480728272808765
0,STCT,6069,-1.2961707207673,0.605118511952191
0,STCT,6142,-1.28771407124807,0.691841284312749
0,STCT,4231,-1.36805224168076,0.507007900796813
0,STCT,6079,-1.30885569504615,0.557815181573705
0,STCT,4312,-1.33845396836346,0.497372037201195
0,STCT,4242,-1.30885569504615,0.512263826394422
0,STCT,6052,-1.2961707207673,0.591978697958167
0,STCT,6165,-1.28771407124807,0.60424252435259
0,STCT,6009,-1.27502909696923,0.635778077938247
0,STCT,6041,-1.31308401980576,0.576210921165339
0,STCT,4214,-1.34268229312307,0.535039503984064
0,STCT,4230,-1.32999731884423,0.531535553585657
0,STCT,6124,-1.25811579793076,0.675197519920319
0,STCT,6108,-1.27925742172884,0.495620062001992
0,STCT,6070,-1.30462737028653,0.506131913197211
0,STCT,4301,-1.35959559216153,0.503503950398406
0,STCT,4272,-1.31731234456538,0.511387838794821
0,STCT,6193,-1.30039904552692,0.584094809561753
0,STCT,6191,-1.26234412269038,0.597234623555777
0,STCT,6180,-1.25388747317115,0.548179317978088
0,STCT,6104,-1.29194239600769,0.618258325946215
0,STCT,6168,-1.28348574648846,0.459704570418327
0,STCT,6096,-1.26657244745,0.653297829930279
0,STCT,6186,-1.22428919985384,0.806595659860558
0,STCT,4330,-1.34691061788269,0.531535553585657
0,STCT,4201,-1.34691061788269,0.539419441982072
0,STCT,6100,-1.27925742172884,0.678701470318725
0,STCT,4202,-1.36805224168076,0.50525592559761
0,STCT,6111,-1.27502909696923,0.407145314442231
0,STCT,6184,-1.22428919985384,0.805719672260956
0,STCT,6081,-1.26234412269038,0.542923392380478
0,STCT,6120,-1.27925742172884,0.625266226743028
0,STCT,4203,-1.36382391692115,0.512263826394422
0,STCT,4221,-1.37228056644038,0.514891789193227
0,STCT,6010,-1.27502909696923,0.583218821962151
0,STCT,4313,-1.34691061788269,0.503503950398406
0,STCT,6005,-1.29281838360729,0.628770177141434
0,STCT,4320,-1.40187883975769,0.5
0,STCT,6011,-1.27502909696923,0.496496049601594
0,SCT,6159,0.711538461538462,0.570717131474104
0,SCT,6043,0.605769230769231,0.552788844621514
0,SCT,6119,0.730769230769231,0.718127490039841
0,SCT,6149,0.701923076923077,0.655378486055777
0,SCT,6181,0.778846153846154,0.797808764940239
0,SCT,6080,0.663461538461538,0.531872509960159
0,SCT,6156,0.769230769230769,0.73406374501992
0,SCT,6170,0.701923076923077,0.713147410358566
0,SCT,6060,0.625,0.629482071713147
0,SCT,6110,0.692307692307692,0.574701195219123
0,SCT,6058,0.567307692307692,0.584661354581673
0,SCT,4310,-1.40187883975769,0.5
0,SCT,4390,-1.40187883975769,0.5
0,SCT,4360,-1.40187883975769,0.5
0,SCT,4220,-1.37228056644038,0.503503950398406
0,SCT,4260,-1.38073721595961,0.514015801593625
0,SCT,4208,-1.40187883975769,0.5
0,SCT,6179,0.740384615384615,0.650398406374502
0,SCT,6169,0.673076923076923,0.651394422310757
0,SCT,6190,0.759615384615385,0.554780876494024
0,SCT,6160,0.788461538461538,0.799800796812749
0,SCT,4210,-1.40187883975769,0.5
0,SCT,4270,-1.36805224168076,0.54379937998008
0,SCT,6030,0.615384615384615,0.537848605577689
0,SCT,6071,0.663461538461538,0.652390438247012
0,SCT,4382,-1.38073721595961,0.5
0,SCT,6151,0.682692307692308,0.727091633466135
0,SCT,4250,-1.40187883975769,0.5
0,SCT,6075,0.682692307692308,0.543824701195219
0,SCT,6069,0.692307692307692,0.594621513944223
0,SCT,6142,0.682692307692308,0.722111553784861
0,SCT,4373,0.5,0.5
0,SCT,4231,-1.38496554071923,0.511387838794821
0,SCT,6079,0.625,0.556772908366534
0,SCT,4339,-1.40187883975769,0.5
0,SCT,4312,-1.40187883975769,0.5
0,SCT,4242,-1.40187883975769,0.5
0,SCT,6052,0.682692307692308,0.574701195219124
0,SCT,6165,0.75,0.73207171314741
0,SCT,6009,0.5,0.5
0,SCT,6041,0.586538461538462,0.520916334661355
0,SCT,4214,-1.40187883975769,0.5
0,SCT,4230,-1.38073721595961,0.5
0,SCT,6124,0.701923076923077,0.661354581673307
0,SCT,6108,0.673076923076923,0.589641434262948
0,SCT,6070,0.605769230769231,0.585657370517928
0,SCT,4301,-1.40187883975769,0.5
0,SCT,4285,-1.36805224168076,0.490364136404383
0,SCT,4253,-1.35959559216153,0.5
0,SCT,4272,-1.37650889119999,0.510511851195219
0,SCT,6193,0.692307692307692,0.623505976095618
0,SCT,6191,0.663461538461538,0.672310756972111
0,SCT,6180,0.778846153846154,0.822709163346613
0,SCT,6104,0.721153846153846,0.538844621513944
0,SCT,6168,0.701923076923077,0.551792828685259
0,SCT,6096,0.730769230769231,0.616533864541833
0,SCT,6186,0.884615384615385,0.874501992031873
0,SCT,4416,0.5,0.5
0,SCT,4330,-1.40187883975769,0.5
0,SCT,4201,-1.40187883975769,0.5
0,SCT,6100,0.798076923076923,0.658366533864542
0,SCT,4202,-1.40187883975769,0.5
0,SCT,6111,0.759615384615385,0.396414342629482
0,SCT,4266,-1.36382391692115,0.482480248007968
0,SCT,6184,0.836538461538462,0.716135458167331
0,SCT,6081,0.634615384615385,0.500996015936255
0,SCT,6120,0.721153846153846,0.651394422310757
0,SCT,4203,-1.40187883975769,0.5
0,SCT,4221,-1.37228056644038,0.536791479183267
0,SCT,4351,-1.40187883975769,0.5
0,SCT,6010,0.5,0.5
0,SCT,4313,-1.40187883975769,0.5
0,SCT,6005,0.5,0.5
0,SCT,4320,-1.40187883975769,0.5
0,SCT,6011,0.5,0.5
0,BuddyCheck,6159,0.605769230769231,0.562749003984064
0,BuddyCheck,6043,0.663461538461538,0.570717131474104
0,BuddyCheck,6119,0.721153846153846,0.540836653386454
0,BuddyCheck,6149,0.711538461538462,0.695219123505976
0,BuddyCheck,6181,0.894230769230769,0.821713147410359
0,BuddyCheck,6080,0.625,0.516932270916335
0,BuddyCheck,6156,0.75,0.5
0,BuddyCheck,6170,0.75,0.800796812749004
0,BuddyCheck,6060,0.634615384615385,0.558764940239044
0,BuddyCheck,6110,0.711538461538462,0.660358565737052
0,BuddyCheck,6058,0.692307692307692,0.619521912350598
0,BuddyCheck,4310,-1.40187883975769,0.5
0,BuddyCheck,4390,-1.40187883975769,0.5
0,BuddyCheck,4360,-1.40187883975769,0.5
0,BuddyCheck,4220,-1.40187883975769,0.5
0,BuddyCheck,4260,-1.40187883975769,0.5
0,BuddyCheck,4208,-1.40187883975769,0.5
0,BuddyCheck,6179,0.711538461538462,0.752988047808765
0,BuddyCheck,6169,0.653846153846154,0.688247011952191
0,BuddyCheck,6190,0.5,0.5
0,BuddyCheck,6160,0.855769230769231,0.789840637450199
0,BuddyCheck,4210,-1.40187883975769,0.5
0,BuddyCheck,4270,-1.40187883975769,0.5
0,BuddyCheck,6030,0.701923076923077,0.5
0,BuddyCheck,6071,0.634615384615385,0.559760956175299
0,BuddyCheck,4382,-1.40187883975769,0.5
0,BuddyCheck,6151,0.740384615384615,0.72410358565737
0,BuddyCheck,4250,-1.40187883975769,0.5
0,BuddyCheck,6075,0.644230769230769,0.459163346613546
0,BuddyCheck,6069,0.769230769230769,0.584661354581673
0,BuddyCheck,6142,0.740384615384615,0.747011952191235
0,BuddyCheck,4373,0.5,0.5
0,BuddyCheck,4231,-1.40187883975769,0.5
0,BuddyCheck,6079,0.682692307692308,0.534860557768924
0,BuddyCheck,4339,-1.40187883975769,0.5
0,BuddyCheck,4312,-1.40187883975769,0.5
0,BuddyCheck,4242,-1.40187883975769,0.5
0,BuddyCheck,6052,0.740384615384615,0.5
0,BuddyCheck,6165,0.673076923076923,0.668326693227092
0,BuddyCheck,6009,0.5,0.5
0,BuddyCheck,6041,0.5,0.5
0,BuddyCheck,4214,-1.40187883975769,0.5
0,BuddyCheck,4230,-1.40187883975769,0.5
0,BuddyCheck,6124,0.769230769230769,0.741035856573705
0,BuddyCheck,6108,0.740384615384615,0.438247011952191
0,BuddyCheck,6070,0.692307692307692,0.572709163346614
0,BuddyCheck,4301,-1.40187883975769,0.5
0,BuddyCheck,4285,-1.40187883975769,0.5
0,BuddyCheck,4253,-1.40187883975769,0.5
0,BuddyCheck,4272,-1.40187883975769,0.5
0,BuddyCheck,6193,0.5,0.5
0,BuddyCheck,6191,0.5,0.5
0,BuddyCheck,6180,0.740384615384615,0.705179282868526
0,BuddyCheck,6104,0.730769230769231,0.669322709163347
0,BuddyCheck,6168,0.730769230769231,0.548804780876494
0,BuddyCheck,6096,0.798076923076923,0.585657370517928
0,BuddyCheck,6186,0.875,0.834661354581673
0,BuddyCheck,4416,0.5,0.5
0,BuddyCheck,4330,-1.40187883975769,0.5
0,BuddyCheck,4201,-1.40187883975769,0.5
0,BuddyCheck,6100,0.778846153846154,0.725099601593626
0,BuddyCheck,4202,-1.40187883975769,0.5
0,BuddyCheck,6111,0.721153846153846,0.422310756972112
0,BuddyCheck,4266,-1.40187883975769,0.5
0,BuddyCheck,6184,0.855769230769231,0.898406374501992
0,BuddyCheck,6081,0.788461538461538,0.581673306772908
0,BuddyCheck,6120,0.692307692307692,0.613545816733068
0,BuddyCheck,4203,-1.40187883975769,0.5
0,BuddyCheck,4221,-1.40187883975769,0.5
0,BuddyCheck,4351,-1.40187883975769,0.5
0,BuddyCheck,6010,0.5,0.5
0,BuddyCheck,4313,-1.40187883975769,0.5
0,BuddyCheck,6005,0.5,0.5
0,BuddyCheck,4320,-1.40187883975769,0.5
0,BuddyCheck,6011,0.5,0.499003984063745
0,ARTest,6159,0.826923076923077,0.768924302788845
0,ARTest,6043,0.817307692307692,0.800796812749004
0,ARTest,6119,0.778846153846154,0.677290836653387
0,ARTest,6149,0.865384615384615,0.829681274900398
0,ARTest,6181,0.846153846153846,0.834661354581673
0,ARTest,6080,0.721153846153846,0.621513944223108
0,ARTest,6156,0.75,0.872509960159363
0,ARTest,6170,0.701923076923077,0.652390438247012
0,ARTest,6060,0.759615384615385,0.659362549800797
0,ARTest,6110,0.721153846153846,0.609561752988048
0,ARTest,6058,0.855769230769231,0.794820717131474
0,ARTest,4310,-1.40187883975769,0.5
0,ARTest,4390,-1.23274584937307,0.761920292280876
0,ARTest,4360,-1.40187883975769,0.5
0,ARTest,4220,-1.40187883975769,0.5
0,ARTest,4260,-1.22006087509423,0.737392639492032
0,ARTest,4208,-1.2961707207673,0.625266226743028
0,ARTest,6179,0.923076923076923,0.887450199203187
0,ARTest,6169,0.875,0.899402390438247
0,ARTest,6190,0.769230769230769,0.688247011952191
0,ARTest,6160,0.682692307692308,0.638446215139442
0,ARTest,4210,-1.22428919985384,0.78031603187251
0,ARTest,4270,-1.32576899408461,0.584094809561753
0,ARTest,6030,0.740384615384615,0.654382470119522
0,ARTest,6071,0.759615384615385,0.631474103585657
0,ARTest,4382,-1.40187883975769,0.5
0,ARTest,6151,0.894230769230769,0.877490039840637
0,ARTest,4250,-1.40187883975769,0.5
0,ARTest,6075,0.865384615384615,0.836653386454183
0,ARTest,6069,0.894230769230769,0.837649402390438
0,ARTest,6142,0.846153846153846,0.834661354581673
0,ARTest,4373,0.740384615384615,0.772908366533865
0,ARTest,4231,-1.30462737028653,0.631398139940239
0,ARTest,6079,0.875,0.844621513944223
0,ARTest,4339,-1.30039904552692,0.68132943311753
0,ARTest,4242,-1.40187883975769,0.5
0,ARTest,6052,0.798076923076923,0.656374501992032
0,ARTest,6165,0.875,0.856573705179283
0,ARTest,6009,0.903846153846154,0.821713147410359
0,ARTest,6041,0.759615384615385,0.777888446215139
0,ARTest,4214,-1.40187883975769,0.5
0,ARTest,4230,-1.22851752461346,0.771556155876494
0,ARTest,6124,0.846153846153846,0.805776892430279
0,ARTest,6108,0.836538461538461,0.782868525896414
0,ARTest,6070,0.730769230769231,0.673306772908367
0,ARTest,4301,-1.33845396836346,0.525403640388446
0,ARTest,4285,-1.38073721595961,0.5
0,ARTest,4253,-1.30462737028653,0.585846784760956
0,ARTest,6193,0.769230769230769,0.687250996015936
0,ARTest,6191,0.826923076923077,0.562749003984064
0,ARTest,6180,0.711538461538461,0.683266932270916
0,ARTest,6104,0.740384615384615,0.629482071713147
0,ARTest,6168,0.865384615384615,0.866533864541833
0,ARTest,6096,0.846153846153846,0.802788844621514
0,ARTest,6186,0.865384615384615,0.845617529880478
0,ARTest,4416,0.673076923076923,0.556772908366534
0,ARTest,4330,-1.40187883975769,0.5
0,ARTest,4201,-1.27925742172884,0.759292329482072
0,ARTest,6100,0.673076923076923,0.558764940239044
0,ARTest,4202,-1.40187883975769,0.5
0,ARTest,6111,0.711538461538461,0.664342629482072
0,ARTest,4266,-1.35536726740192,0.510511851195219
0,ARTest,6184,0.846153846153846,0.836653386454183
0,ARTest,6081,0.884615384615385,0.782868525896414
0,ARTest,6120,0.653846153846154,0.606573705179283
0,ARTest,4203,-1.40187883975769,0.5
0,ARTest,4221,-1.22428919985384,0.777688069073705
0,ARTest,4351,-1.30039904552692,0.572706970766932
0,ARTest,6010,0.865384615384615,0.775896414342629
0,ARTest,6005,0.903846153846154,0.866533864541833
0,ARTest,4320,-1.26657244745,0.727756775896414
0,ARTest,6011,0.865384615384615,0.820717131474103
0,STCT,6159,-1.19034037821923,0.816733067729084
0,STCT,6043,-1.27207114745,0.727091633466135
0,STCT,6119,-1.19995576283461,0.859561752988048
0,STCT,6149,-1.2047634551423,0.841633466135458
0,STCT,6181,-1.16630191668076,0.967131474103586
0,STCT,6080,-1.22399422437307,0.660358565737052
0,STCT,6156,-1.19995576283461,0.825697211155378
0,STCT,6170,-1.20957114744999,0.898406374501992
0,STCT,6060,-1.22399422437307,0.710159362549801
0,STCT,6110,-1.21437883975769,0.725099601593626
0,STCT,6058,-1.21437883975769,0.598605577689243
0,STCT,4310,-1.27925742172884,0.627018201942231
0,STCT,4220,-1.30039904552692,0.599862586354582
0,STCT,4260,-1.31731234456538,0.554311231175299
0,STCT,4208,-1.31731234456538,0.504379937998008
0,STCT,6179,-1.21437883975769,0.573705179282869
0,STCT,6169,-1.2047634551423,0.893426294820717
0,STCT,6190,-1.23841730129615,0.620517928286853
0,STCT,6160,-1.19514807052692,0.901394422310757
0,STCT,4210,-1.32999731884423,0.526279627988048
0,STCT,4270,-1.33845396836346,0.544675367579681
0,STCT,6030,-1.22399422437307,0.73207171314741
0,STCT,6071,-1.23360960898846,0.775896414342629
0,STCT,6151,-1.20957114744999,0.894422310756972
0,STCT,4250,-1.27925742172884,0.614754375547809
0,STCT,6075,-1.20957114744999,0.571713147410359
0,STCT,6069,-1.21918653206538,0.830677290836653
0,STCT,6142,-1.19995576283461,0.881474103585657
0,STCT,4231,-1.33845396836346,0.568327032768924
0,STCT,6079,-1.2672634551423,0.608565737051793
0,STCT,4312,-1.30039904552692,0.556939193974104
0,STCT,4242,-1.2961707207673,0.558691169173307
0,STCT,6052,-1.21918653206538,0.680278884462151
0,STCT,6165,-1.2047634551423,0.859561752988048
0,STCT,6009,-1.18072499360384,0.762948207171315
0,STCT,6041,-1.25764807052692,0.702191235059761
0,STCT,4214,-1.30885569504615,0.549055305577689
0,STCT,4230,-1.31308401980576,0.577962896364542
0,STCT,6124,-1.19034037821923,0.861553784860558
0,STCT,6108,-1.19995576283461,0.568725099601594
0,STCT,6070,-1.23841730129615,0.689243027888446
0,STCT,4301,-1.32576899408461,0.499124012400398
0,STCT,4272,-1.34691061788269,0.545551355179283
0,STCT,6193,-1.19995576283461,0.792828685258964
0,STCT,6191,-1.2047634551423,0.775896414342629
0,STCT,6180,-1.18553268591153,0.680278884462151
0,STCT,6104,-1.2047634551423,0.886454183266932
0,STCT,6168,-1.22880191668076,0.614541832669323
0,STCT,6096,-1.21918653206538,0.801792828685259
0,STCT,6186,-1.17110960898846,0.910358565737052
0,STCT,4330,-1.321540669325,0.549931293177291
0,STCT,4201,-1.30039904552692,0.576210921165339
0,STCT,6100,-1.18553268591153,0.880478087649402
0,STCT,4202,-1.32576899408461,0.553435243575697
0,STCT,6111,-1.19995576283461,0.474103585657371
0,STCT,6184,-1.16149422437307,0.919322709163347
0,STCT,6081,-1.23360960898846,0.652390438247012
0,STCT,6120,-1.20957114744999,0.858565737051793
0,STCT,4203,-1.33845396836346,0.54379937998008
0,STCT,4221,-1.32999731884423,0.567451045169323
0,STCT,6010,-1.19034037821923,0.73406374501992
0,STCT,4313,-1.34691061788269,0.530659565986056
0,STCT,6005,-1.19514807052692,0.72410358565737
0,STCT,4320,-1.31308401980576,0.524527652788845
0,STCT,6011,-1.21437883975769,0.493027888446215
0,SCT,6159,0.817307692307692,0.832669322709163
0,SCT,6043,0.644230769230769,0.577689243027888
0,SCT,6119,0.807692307692308,0.835657370517928
0,SCT,6149,0.846153846153846,0.818725099601594
0,SCT,6181,0.826923076923077,0.797808764940239
0,SCT,6080,0.730769230769231,0.595617529880478
0,SCT,6156,0.855769230769231,0.74402390438247
0,SCT,6170,0.788461538461538,0.829681274900398
0,SCT,6060,0.759615384615385,0.73406374501992
0,SCT,6110,0.826923076923077,0.794820717131474
0,SCT,6058,0.682692307692308,0.559760956175299
0,SCT,4310,-1.40187883975769,0.5
